mine_id,mine_name,latitude,longitude,elevation_m,slope_degrees,aspect_degrees,terrain_ruggedness_index,data_source
1,Mine_00001,11.292622,76.702084,1594.04,41.89,277.22,15.66,synthetic_srtm
2,Mine_00002,11.306133,79.186327,478.28,14.85,102.79,8.88,synthetic_srtm
3,Mine_00003,9.000037,76.82532,592.0,8.3,300.72,4.56,synthetic_srtm
4,Mine_00004,9.60176,78.753338,778.32,11.0,22.18,4.99,synthetic_srtm
5,Mine_00005,10.508385,79.533292,351.77,0.96,0.3,4.99,synthetic_srtm
6,Mine_00006,8.255477,78.733952,499.56,9.91,13.53,4.18,synthetic_srtm
7,Mine_00007,11.098085,77.734374,1215.44,37.65,256.99,11.52,synthetic_srtm
8,Mine_00008,11.354982,79.749377,267.66,13.91,305.28,8.56,synthetic_srtm
9,Mine_00009,12.154488,77.913201,1264.78,25.33,129.76,9.5,synthetic_srtm
10,Mine_00010,12.263231,80.227745,336.12,10.73,193.34,7.2,synthetic_srtm
11,Mine_00011,11.137442,78.343754,201.02,13.4,226.35,4.33,synthetic_srtm
12,Mine_00012,12.558056,77.60539,1098.03,36.66,62.86,11.94,synthetic_srtm
13,Mine_00013,8.086,77.905307,970.41,23.86,161.06,9.22,synthetic_srtm
14,Mine_00014,9.093633,79.201039,653.5,8.9,130.69,3.05,synthetic_srtm
15,Mine_00015,11.580924,80.117319,863.02,8.3,197.63,7.07,synthetic_srtm
16,Mine_00016,10.0395,79.009786,307.24,7.8,162.23,6.2,synthetic_srtm
17,Mine_00017,11.086839,77.723171,2076.62,26.75,287.94,12.8,synthetic_srtm
18,Mine_00018,9.297917,77.152307,911.2,23.51,255.13,10.93,synthetic_srtm
19,Mine_00019,8.593403,76.141431,682.1,24.16,154.98,8.45,synthetic_srtm
20,Mine_00020,12.991616,77.121815,2018.63,29.0,187.17,10.42,synthetic_srtm
21,Mine_00021,8.42339,77.303882,801.79,13.67,282.79,5.15,synthetic_srtm
22,Mine_00022,12.793033,79.616524,339.31,2.89,191.15,1.12,synthetic_srtm
23,Mine_00023,12.440921,80.032411,690.91,20.56,7.69,10.04,synthetic_srtm
24,Mine_00024,10.349093,79.681066,701.65,22.12,173.76,8.18,synthetic_srtm
25,Mine_00025,10.295761,76.999485,1020.7,26.58,243.81,10.44,synthetic_srtm
26,Mine_00026,9.777616,78.334558,204.39,11.82,84.98,8.24,synthetic_srtm
27,Mine_00027,13.29346,77.13302,1758.42,31.41,129.34,13.32,synthetic_srtm
28,Mine_00028,8.202878,78.74304,588.25,11.16,296.51,7.6,synthetic_srtm
29,Mine_00029,12.995462,77.078029,1957.45,27.63,15.52,11.96,synthetic_srtm
30,Mine_00030,9.331304,79.02461,976.4,11.21,255.09,5.08,synthetic_srtm
31,Mine_00031,10.022807,78.845376,876.6,6.13,169.69,2.07,synthetic_srtm
32,Mine_00032,12.594164,77.44351,1637.5,18.26,37.8,6.95,synthetic_srtm
33,Mine_00033,11.726604,76.074645,918.79,24.37,11.02,8.47,synthetic_srtm
34,Mine_00034,8.959015,79.10922,770.0,9.73,148.03,7.61,synthetic_srtm
35,Mine_00035,12.043689,76.940822,1320.39,20.15,216.59,6.9,synthetic_srtm
36,Mine_00036,13.401926,78.324862,908.0,14.06,206.14,9.15,synthetic_srtm
37,Mine_00037,11.070614,79.971864,983.93,7.64,251.45,5.67,synthetic_srtm
38,Mine_00038,12.934106,79.991889,742.72,11.15,163.16,4.73,synthetic_srtm
39,Mine_00039,12.319374,79.010447,599.14,15.36,36.88,9.13,synthetic_srtm
40,Mine_00040,8.027839,76.723636,1324.41,19.3,324.39,6.46,synthetic_srtm
41,Mine_00041,9.233481,79.204806,689.98,15.5,3.63,8.21,synthetic_srtm
42,Mine_00042,11.572981,79.821505,654.87,5.02,153.66,6.33,synthetic_srtm
43,Mine_00043,10.022437,77.193411,308.37,4.94,15.86,2.22,synthetic_srtm
44,Mine_00044,12.906256,78.840124,859.23,23.02,5.5,8.33,synthetic_srtm
45,Mine_00045,10.708847,76.878593,1071.46,44.13,188.16,17.28,synthetic_srtm
46,Mine_00046,8.239821,80.475477,506.49,18.14,113.13,8.01,synthetic_srtm
47,Mine_00047,13.241895,77.488376,1606.38,23.69,136.46,7.25,synthetic_srtm
48,Mine_00048,8.414404,77.375637,426.87,14.06,78.42,5.51,synthetic_srtm
49,Mine_00049,10.170803,79.798959,562.24,12.49,85.33,6.95,synthetic_srtm
50,Mine_00050,11.691289,77.613911,1107.44,24.62,275.73,8.59,synthetic_srtm
51,Mine_00051,8.751417,79.190099,260.76,7.39,216.92,6.64,synthetic_srtm
52,Mine_00052,9.409138,78.751812,412.1,12.64,168.47,8.25,synthetic_srtm
53,Mine_00053,8.390175,77.785527,574.32,18.04,119.9,7.83,synthetic_srtm
54,Mine_00054,11.183757,77.973134,1516.97,36.31,259.22,13.24,synthetic_srtm
55,Mine_00055,12.614134,79.871821,275.35,3.18,314.69,4.41,synthetic_srtm
56,Mine_00056,10.953953,77.469931,609.69,18.31,340.86,6.94,synthetic_srtm
57,Mine_00057,10.514958,79.789104,594.62,5.07,353.55,2.23,synthetic_srtm
58,Mine_00058,11.993502,80.391334,929.49,7.26,71.85,4.95,synthetic_srtm
59,Mine_00059,10.384364,79.348192,277.73,0.22,4.11,4.75,synthetic_srtm
60,Mine_00060,11.827858,77.840288,1874.47,24.16,122.23,11.1,synthetic_srtm
61,Mine_00061,11.930278,78.970888,458.74,12.77,200.08,4.6,synthetic_srtm
62,Mine_00062,10.396201,79.285177,750.16,17.93,126.11,5.38,synthetic_srtm
63,Mine_00063,8.660906,77.538459,268.41,9.23,27.01,5.97,synthetic_srtm
64,Mine_00064,11.870118,78.133782,594.28,24.94,291.84,9.5,synthetic_srtm
65,Mine_00065,10.386184,77.793271,881.45,16.97,121.68,7.82,synthetic_srtm
66,Mine_00066,10.060369,78.81637,403.42,6.4,337.21,2.32,synthetic_srtm
