mine_id,mine_name,mineral_type,rock_stability_index,fracture_density,weathering_index,joint_spacing_m,ucs_mpa,data_source
1,Mine_00001,Marble,0.734,0.343,0.452,2.68,62.19,synthetic_geological_survey
2,Mine_00002,Sand,0.258,0.687,0.477,4.8,77.91,synthetic_geological_survey
3,Mine_00003,Salt,0.892,0.198,0.718,1.5,25.75,synthetic_geological_survey
4,Mine_00004,Limestone,0.671,0.559,0.438,2.74,71.95,synthetic_geological_survey
5,Mine_00005,Salt,0.788,0.175,0.33,1.72,159.98,synthetic_geological_survey
6,Mine_00006,Marble,0.696,0.325,0.551,2.59,40.07,synthetic_geological_survey
7,Mine_00007,Sand,0.246,0.655,0.396,3.22,164.96,synthetic_geological_survey
8,Mine_00008,Marble,0.885,0.413,0.29,3.82,32.53,synthetic_geological_survey
9,Mine_00009,Silica Sand,0.346,0.606,0.242,3.15,45.57,synthetic_geological_survey
10,Mine_00010,Marble,0.824,0.384,0.417,4.39,64.75,synthetic_geological_survey
11,Mine_00011,Silica Sand,0.457,0.8,0.267,0.99,38.07,synthetic_geological_survey
12,Mine_00012,Sandstone,0.573,0.687,0.494,4.52,163.78,synthetic_geological_survey
13,Mine_00013,Granite,0.735,0.276,0.334,1.96,96.28,synthetic_geological_survey
14,Mine_00014,Marble,0.755,0.352,0.664,1.78,141.96,synthetic_geological_survey
15,Mine_00015,Granite,0.865,0.324,0.559,3.66,46.42,synthetic_geological_survey
16,Mine_00016,Salt,1.068,0.237,0.472,2.34,37.32,synthetic_geological_survey
17,Mine_00017,Iron Ore,0.757,0.432,0.574,0.85,150.75,synthetic_geological_survey
18,Mine_00018,Silica Sand,0.378,0.662,0.571,3.57,198.06,synthetic_geological_survey
19,Mine_00019,Sand,0.327,0.871,0.581,4.4,125.47,synthetic_geological_survey
20,Mine_00020,Granite,0.746,0.28,0.237,2.11,186.59,synthetic_geological_survey
21,Mine_00021,Sand,0.331,0.883,0.698,4.01,127.67,synthetic_geological_survey
22,Mine_00022,Limestone,0.525,0.437,0.328,4.72,180.92,synthetic_geological_survey
23,Mine_00023,Marble,0.772,0.36,0.346,1.52,128.68,synthetic_geological_survey
24,Mine_00024,Silica Sand,0.325,0.568,0.232,2.08,35.98,synthetic_geological_survey
25,Mine_00025,Iron Ore,0.686,0.392,0.464,0.86,135.38,synthetic_geological_survey
26,Mine_00026,Limestone,0.654,0.545,0.694,3.18,130.73,synthetic_geological_survey
27,Mine_00027,Marble,0.858,0.4,0.31,2.7,149.14,synthetic_geological_survey
28,Mine_00028,Iron Ore,0.61,0.349,0.741,2.83,177.12,synthetic_geological_survey
29,Mine_00029,Marble,0.77,0.359,0.556,1.23,131.73,synthetic_geological_survey
30,Mine_00030,Sandstone,0.438,0.525,0.72,1.85,173.01,synthetic_geological_survey
31,Mine_00031,Salt,0.924,0.205,0.793,3.35,187.29,synthetic_geological_survey
32,Mine_00032,Silica Sand,0.43,0.753,0.332,3.09,132.05,synthetic_geological_survey
33,Mine_00033,Salt,0.823,0.183,0.653,3.43,132.18,synthetic_geological_survey
34,Mine_00034,Sand,0.347,0.924,0.651,4.27,73.41,synthetic_geological_survey
35,Mine_00035,Limestone,0.595,0.496,0.699,3.35,139.62,synthetic_geological_survey
36,Mine_00036,Iron Ore,0.709,0.405,0.46,4.03,140.71,synthetic_geological_survey
37,Mine_00037,Limestone,0.485,0.404,0.235,1.66,157.01,synthetic_geological_survey
38,Mine_00038,Granite,0.878,0.329,0.516,0.85,95.39,synthetic_geological_survey
39,Mine_00039,Salt,0.943,0.21,0.733,3.15,77.69,synthetic_geological_survey
40,Mine_00040,Salt,0.763,0.17,0.21,2.95,190.07,synthetic_geological_survey
41,Mine_00041,Limestone,0.57,0.475,0.212,2.45,79.12,synthetic_geological_survey
42,Mine_00042,Silica Sand,0.351,0.614,0.254,3.58,32.06,synthetic_geological_survey
43,Mine_00043,Salt,0.907,0.202,0.216,3.99,91.61,synthetic_geological_survey
44,Mine_00044,Silica Sand,0.324,0.568,0.338,2.46,109.84,synthetic_geological_survey
45,Mine_00045,Sandstone,0.417,0.501,0.358,3.76,37.81,synthetic_geological_survey
46,Mine_00046,Iron Ore,0.65,0.372,0.542,1.69,111.94,synthetic_geological_survey
47,Mine_00047,Sandstone,0.446,0.535,0.431,3.38,93.54,synthetic_geological_survey
48,Mine_00048,Sandstone,0.493,0.592,0.642,3.46,178.19,synthetic_geological_survey
49,Mine_00049,Salt,0.954,0.212,0.653,1.12,151.14,synthetic_geological_survey
50,Mine_00050,Salt,0.74,0.164,0.635,2.52,38.16,synthetic_geological_survey
51,Mine_00051,Limestone,0.535,0.446,0.772,2.67,71.55,synthetic_geological_survey
52,Mine_00052,Sandstone,0.465,0.558,0.262,0.99,161.12,synthetic_geological_survey
53,Mine_00053,Granite,0.859,0.322,0.643,4.45,106.88,synthetic_geological_survey
54,Mine_00054,Marble,0.802,0.374,0.668,0.76,27.09,synthetic_geological_survey
55,Mine_00055,Granite,0.764,0.287,0.656,0.69,74.14,synthetic_geological_survey
56,Mine_00056,Marble,0.652,0.304,0.348,1.32,55.97,synthetic_geological_survey
57,Mine_00057,Sandstone,0.572,0.686,0.432,2.77,196.35,synthetic_geological_survey
58,Mine_00058,Silica Sand,0.332,0.581,0.528,2.82,167.23,synthetic_geological_survey
59,Mine_00059,Silica Sand,0.348,0.609,0.255,3.46,52.28,synthetic_geological_survey
60,Mine_00060,Limestone,0.712,0.593,0.706,4.46,123.05,synthetic_geological_survey
61,Mine_00061,Sand,0.276,0.736,0.672,3.1,85.7,synthetic_geological_survey
62,Mine_00062,Salt,0.931,0.207,0.676,1.18,38.69,synthetic_geological_survey
63,Mine_00063,Marble,0.608,0.284,0.545,0.67,178.99,synthetic_geological_survey
64,Mine_00064,Sand,0.297,0.791,0.326,2.48,100.58,synthetic_geological_survey
65,Mine_00065,Sandstone,0.557,0.669,0.582,3.98,123.1,synthetic_geological_survey
66,Mine_00066,Silica Sand,0.404,0.708,0.667,4.59,101.11,synthetic_geological_survey
67,Mine_00067,Salt,0.749,0.166,0.585,0.53,22.15,synthetic_geological_survey
68,Mine_00068,Marble,0.825,0.385,0.281,4.64,109.29,synthetic_geological_survey
69,Mine_00069,Granite,0.831,0.312,0.489,1.81,40.84,synthetic_geological_survey
70,Mine_00070,Limestone,0.653,0.544,0.272,2.94,111.95,synthetic_geological_survey
71,Mine_00071,Limestone,0.652,0.543,0.599,2.77,173.23,synthetic_geological_survey
72,Mine_00072,Iron Ore,0.703,0.402,0.291,2.1,69.43,synthetic_geological_survey
73,Mine_00073,Granite,0.777,0.291,0.767,0.88,199.44,synthetic_geological_survey
