mine_id,mine_name,latitude,longitude,date,avg_temp_c,max_temp_c,min_temp_c,data_source
1,Mine_00001,11.292622,76.702084,2024-11,25.97,32.03,19.92,synthetic_era5
1,Mine_00001,11.292622,76.702084,2024-12,18.09,22.91,13.27,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-01,16.93,25.26,8.6,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-02,16.1,20.36,11.83,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-03,30.5,38.77,22.23,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-04,30.35,37.35,23.35,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-05,31.21,36.82,25.6,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-06,23.49,31.29,15.69,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-07,25.9,32.86,18.95,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-08,25.73,32.39,19.07,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-09,25.02,30.15,19.89,synthetic_era5
1,Mine_00001,11.292622,76.702084,2025-10,23.56,27.67,19.45,synthetic_era5
2,Mine_00002,11.306133,79.186327,2024-11,23.05,28.99,17.1,synthetic_era5
2,Mine_00002,11.306133,79.186327,2024-12,16.54,22.71,10.36,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-01,17.01,25.57,8.44,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-02,18.03,22.84,13.22,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-03,28.64,33.97,23.32,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-04,28.01,33.9,22.12,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-05,31.37,39.16,23.58,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-06,24.35,30.73,17.98,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-07,22.78,29.91,15.66,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-08,23.57,31.6,15.54,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-09,23.86,27.55,20.17,synthetic_era5
2,Mine_00002,11.306133,79.186327,2025-10,25.19,31.39,19.0,synthetic_era5
3,Mine_00003,9.000037,76.82532,2024-11,26.01,30.97,21.04,synthetic_era5
3,Mine_00003,9.000037,76.82532,2024-12,17.82,25.11,10.52,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-01,19.23,25.56,12.89,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-02,18.81,23.5,14.11,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-03,30.67,36.65,24.68,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-04,29.4,34.56,24.24,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-05,31.47,36.9,26.04,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-06,26.79,33.86,19.72,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-07,26.42,32.94,19.9,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-08,25.38,33.79,16.98,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-09,26.86,33.81,19.9,synthetic_era5
3,Mine_00003,9.000037,76.82532,2025-10,27.4,34.02,20.77,synthetic_era5
4,Mine_00004,9.60176,78.753338,2024-11,25.5,32.66,18.35,synthetic_era5
4,Mine_00004,9.60176,78.753338,2024-12,19.77,26.04,13.5,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-01,17.14,22.56,11.73,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-02,17.75,25.28,10.21,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-03,32.27,40.09,24.45,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-04,28.74,34.82,22.66,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-05,31.27,39.12,23.43,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-06,24.91,29.4,20.42,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-07,22.37,28.35,16.39,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-08,25.15,29.75,20.55,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-09,25.96,33.77,18.14,synthetic_era5
4,Mine_00004,9.60176,78.753338,2025-10,24.62,29.88,19.36,synthetic_era5
5,Mine_00005,10.508385,79.533292,2024-11,22.53,28.33,16.73,synthetic_era5
5,Mine_00005,10.508385,79.533292,2024-12,19.85,26.61,13.08,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-01,18.4,23.55,13.25,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-02,19.01,25.76,12.26,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-03,30.26,36.25,24.28,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-04,29.55,34.27,24.83,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-05,30.16,34.63,25.68,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-06,25.89,32.21,19.58,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-07,26.08,32.42,19.73,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-08,26.74,33.14,20.34,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-09,25.23,29.86,20.6,synthetic_era5
5,Mine_00005,10.508385,79.533292,2025-10,24.9,30.52,19.27,synthetic_era5
6,Mine_00006,8.255477,78.733952,2024-11,23.83,30.36,17.3,synthetic_era5
6,Mine_00006,8.255477,78.733952,2024-12,19.34,26.63,12.05,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-01,20.24,27.09,13.38,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-02,20.12,26.59,13.66,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-03,31.63,40.03,23.23,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-04,31.82,40.15,23.49,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-05,30.61,36.02,25.2,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-06,26.12,34.41,17.83,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-07,25.07,31.35,18.79,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-08,27.13,33.16,21.11,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-09,26.46,34.05,18.87,synthetic_era5
6,Mine_00006,8.255477,78.733952,2025-10,26.14,33.42,18.85,synthetic_era5
7,Mine_00007,11.098085,77.734374,2024-11,23.53,30.8,16.25,synthetic_era5
7,Mine_00007,11.098085,77.734374,2024-12,15.97,20.72,11.22,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-01,18.66,24.14,13.18,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-02,17.28,23.88,10.68,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-03,30.34,38.34,22.35,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-04,29.65,36.72,22.58,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-05,28.48,33.6,23.36,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-06,23.32,31.14,15.51,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-07,25.21,33.05,17.38,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-08,22.13,28.0,16.26,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-09,25.49,32.27,18.71,synthetic_era5
7,Mine_00007,11.098085,77.734374,2025-10,25.32,32.59,18.04,synthetic_era5
8,Mine_00008,11.354982,79.749377,2024-11,25.68,31.69,19.68,synthetic_era5
8,Mine_00008,11.354982,79.749377,2024-12,17.16,21.68,12.65,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-01,15.35,20.34,10.36,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-02,18.22,25.84,10.59,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-03,29.46,37.59,21.33,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-04,31.78,39.32,24.24,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-05,28.68,34.75,22.62,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-06,25.58,32.7,18.45,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-07,25.62,31.65,19.58,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-08,22.86,30.04,15.69,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-09,25.21,30.4,20.02,synthetic_era5
8,Mine_00008,11.354982,79.749377,2025-10,23.71,29.11,18.31,synthetic_era5
9,Mine_00009,12.154488,77.913201,2024-11,22.06,27.76,16.36,synthetic_era5
9,Mine_00009,12.154488,77.913201,2024-12,17.08,24.16,10.0,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-01,17.31,25.27,9.34,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-02,18.11,24.09,12.13,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-03,30.03,34.4,25.67,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-04,31.37,37.34,25.4,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-05,28.78,36.41,21.15,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-06,23.13,30.89,15.37,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-07,24.72,32.45,16.99,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-08,25.15,31.6,18.7,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-09,25.48,31.98,18.97,synthetic_era5
9,Mine_00009,12.154488,77.913201,2025-10,24.87,31.93,17.81,synthetic_era5
10,Mine_00010,12.263231,80.227745,2024-11,23.99,29.3,18.68,synthetic_era5
10,Mine_00010,12.263231,80.227745,2024-12,17.1,23.55,10.65,synthetic_era5
