mine_name,district,mineral_type,lease_area_ha,latitude,longitude,status
Unknown Quarry 1,Tamil Nadu,Granite,10.0,11.3385877,77.0926288,Active
Tiruneermalai Quarry,Tamil Nadu,Granite,10.0,12.9527256,80.111219,Active
Unknown Quarry 3,Tamil Nadu,Granite,10.0,12.9683772,80.1223854,Active
Magnesite Quarry,Tamil Nadu,Granite,10.0,11.6924589,78.0927395,Active
Magnesite Quarry,Tamil Nadu,Granite,10.0,11.7121754,78.16864,Active
Neyveli III Coal Mine,Tamil Nadu,lignite,10.0,11.5122516,79.4826345,Active
Neyveli Lignite Mines - II,Tamil Nadu,lignite,10.0,11.5153006,79.4321123,Active
The Associated Cement Companies Limited Quarry,Tamil Nadu,Granite,10.0,10.9230446,76.9483976,Active
Unknown Quarry 9,Tamil Nadu,Granite,10.0,11.461906,77.7818219,Active
Unknown Quarry 10,Tamil Nadu,Granite,10.0,11.4686456,77.7860185,Active
Unknown Quarry 11,Tamil Nadu,Granite,10.0,11.4540418,77.7736743,Active
Unknown Quarry 12,Tamil Nadu,Granite,10.0,11.4552042,77.7709269,Active
Unknown Quarry 13,Tamil Nadu,Granite,10.0,11.4193375,77.7991586,Active
Unknown Quarry 14,Tamil Nadu,Granite,10.0,11.4308517,77.7912843,Active
Unknown Quarry 15,Tamil Nadu,Granite,10.0,11.4255691,77.7982961,Active
Unknown Quarry 16,Tamil Nadu,Granite,10.0,11.4188693,77.8014304,Active
Unknown Quarry 17,Tamil Nadu,Granite,10.0,11.279565,77.7598166,Active
Unknown Quarry 18,Tamil Nadu,Granite,10.0,11.2872308,77.7419846,Active
Unknown Quarry 19,Tamil Nadu,Granite,10.0,8.1343721,77.4908228,Active
Unknown Quarry 20,Tamil Nadu,Granite,10.0,11.0111774,77.9709508,Active
Unknown Quarry 21,Tamil Nadu,Granite,10.0,10.7091573,78.0687254,Active
Unknown Quarry 22,Tamil Nadu,Granite,10.0,12.865778,79.1097737,Active
Unknown Quarry 23,Tamil Nadu,Granite,10.0,12.4772237,77.9488185,Active
Unknown Quarry 24,Tamil Nadu,Granite,10.0,11.4748112,77.8129508,Active
Unknown Quarry 25,Tamil Nadu,Granite,10.0,11.4905083,77.7984275,Active
Unknown Quarry 26,Tamil Nadu,Granite,10.0,11.4828306,77.79634,Active
Unknown Quarry 27,Tamil Nadu,Granite,10.0,10.5263453,78.7812148,Active
Unknown Quarry 28,Tamil Nadu,Granite,10.0,10.5218276,78.7722421,Active
Unknown Quarry 29,Tamil Nadu,Granite,10.0,10.5107455,78.7533833,Active
Unknown Quarry 30,Tamil Nadu,Granite,10.0,9.9192925,78.1770125,Active
Granite quarry Quarry,Tamil Nadu,Granite,10.0,10.0763729,78.4434821,Active
Granite quarry Quarry,Tamil Nadu,Granite,10.0,10.0619488,78.4039588,Active
Unknown Quarry 33,Tamil Nadu,Granite,10.0,11.5614609,77.852482,Active
Unknown Quarry 34,Tamil Nadu,limestone,10.0,11.0752987,79.1558933,Active
Unknown Quarry 35,Tamil Nadu,limestone,10.0,11.1464968,79.1289425,Active
Unknown Quarry 36,Tamil Nadu,limestone,10.0,11.098407,79.1496359,Active
Unknown Quarry 37,Tamil Nadu,limestone,10.0,11.1110995,79.1357847,Active
Unknown Quarry 38,Tamil Nadu,limestone,10.0,11.1047305,79.1509666,Active
Unknown Quarry 39,Tamil Nadu,Granite,10.0,10.9769831,78.9458469,Active
Unknown Quarry 40,Tamil Nadu,Granite,10.0,10.9880804,78.9464734,Active
Unknown Quarry 41,Tamil Nadu,cement,10.0,10.9600772,78.9339241,Active
Unknown Quarry 42,Tamil Nadu,Granite,10.0,12.9510047,80.0758814,Active
Unknown Quarry 43,Tamil Nadu,Granite,10.0,12.4426683,77.648635,Active
Unknown Quarry 44,Tamil Nadu,Granite,10.0,9.3704698,78.1078567,Active
Unknown Quarry 45,Tamil Nadu,Granite,10.0,9.3891383,78.0941123,Active
Unknown Quarry 46,Tamil Nadu,Granite,10.0,9.313217,78.1613559,Active
Unknown Quarry 47,Tamil Nadu,Granite,10.0,12.7413807,79.971372,Active
Unknown Quarry 48,Tamil Nadu,Granite,10.0,12.8472737,79.8999541,Active
Unknown Quarry 49,Tamil Nadu,Granite,10.0,12.9466588,79.9045214,Active
Unknown Quarry 50,Tamil Nadu,Granite,10.0,9.7684023,78.0407854,Active
Unknown Quarry 51,Tamil Nadu,Granite,10.0,9.7926192,78.0751423,Active
Unknown Quarry 52,Tamil Nadu,Granite,10.0,9.9713566,78.1932751,Active
Unknown Quarry 53,Tamil Nadu,Granite,10.0,10.7602969,78.7993995,Active
Unknown Quarry 54,Tamil Nadu,Granite,10.0,10.7742664,78.8044559,Active
malabar cements limited Quarry,Tamil Nadu,Granite,10.0,10.878649,76.8457228,Active
Unknown Quarry 56,Tamil Nadu,Granite,10.0,9.0921051,77.3891746,Active
Unknown Quarry 57,Tamil Nadu,Granite,10.0,8.817079,77.7298576,Active
Unknown Quarry 58,Tamil Nadu,Granite,10.0,8.7972364,77.6758231,Active
Unknown Quarry 59,Tamil Nadu,Granite,10.0,10.9913373,77.9166757,Active
Unknown Quarry 60,Tamil Nadu,Granite,10.0,11.0290026,77.8866388,Active
Unknown Quarry 61,Tamil Nadu,Granite,10.0,11.0322278,77.8847592,Active
Unknown Quarry 62,Tamil Nadu,Granite,10.0,11.0257826,77.8845926,Active
Unknown Quarry 63,Tamil Nadu,Granite,10.0,11.0265408,77.8885705,Active
Unknown Quarry 64,Tamil Nadu,Granite,10.0,11.0318588,77.8828204,Active
Unknown Quarry 65,Tamil Nadu,Granite,10.0,10.9751312,77.8943645,Active
Unknown Quarry 66,Tamil Nadu,Granite,10.0,11.0254396,77.9112463,Active
Unknown Quarry 67,Tamil Nadu,Granite,10.0,11.0278617,77.9095901,Active
Unknown Quarry 68,Tamil Nadu,Granite,10.0,10.964344,77.9689428,Active
Unknown Quarry 69,Tamil Nadu,Granite,10.0,10.9471298,77.9695471,Active
Unknown Quarry 70,Tamil Nadu,Granite,10.0,11.0007699,77.877273,Active
Unknown Quarry 71,Tamil Nadu,Granite,10.0,8.155032,77.4781579,Active
Unknown Quarry 72,Tamil Nadu,Granite,10.0,8.1830737,77.5250775,Active
Unknown Quarry 73,Tamil Nadu,Granite,10.0,8.2552016,77.2468628,Active
Unknown Quarry 74,Tamil Nadu,Granite,10.0,12.5559439,78.6328886,Active
Unknown Quarry 75,Tamil Nadu,Granite,10.0,10.9730524,77.8424565,Active
Unknown Quarry 76,Tamil Nadu,Granite,10.0,10.9714953,77.8581133,Active
Unknown Quarry 77,Tamil Nadu,Granite,10.0,10.9759837,77.8584443,Active
