mine_id,mine_name,district,mineral_type,lease_area_ha,latitude,longitude,status,avg_rainfall_mm,max_rainfall_mm,rainfall_variability,avg_temp_c,max_avg_temp_c,min_avg_temp_c,extreme_max_temp_c,extreme_min_temp_c,elevation_m,slope_degrees,aspect_degrees,terrain_ruggedness_index,rock_stability_index,fracture_density,weathering_index,joint_spacing_m,ucs_mpa,rainfall_intensity,temperature_stress,slope_risk_factor,geological_risk,environmental_risk_score
1,Mine_00001,Perambalur,Marble,52.67,11.292622,76.702084,Closed,179.02,411.76,133.2,24.4,31.21,16.1,38.77,8.6,1594.04,41.89,277.22,15.66,0.734,0.343,0.452,2.68,62.19,2.3000782035526757,3.0170000000000003,0.9308888888888889,0.09123800000000001,1.114
2,Mine_00002,Namakkal,Sand,80.45,11.306133,79.186327,Active,189.64,408.8,143.45,23.53,31.37,16.54,39.16,8.44,478.28,14.85,102.79,8.88,0.258,0.687,0.477,4.8,77.91,2.155663362159882,3.072,0.33,0.509754,1.038
3,Mine_00003,Salem,Salt,9.55,9.000037,76.82532,Active,99.81,227.51,70.58,25.52,31.47,17.82,36.9,10.52,592.0,8.3,300.72,4.56,0.892,0.198,0.718,1.5,25.75,2.2794309187456165,2.638,0.18444444444444447,0.021383999999999997,0.853
4,Mine_00004,Theni,Limestone,22.62,9.60176,78.753338,Active,136.63,267.11,92.54,24.62,32.27,17.14,40.09,10.21,778.32,11.0,22.18,4.99,0.671,0.559,0.438,2.74,71.95,1.9549879235892558,2.9880000000000004,0.24444444444444444,0.183911,0.862
5,Mine_00005,Dindigul,Salt,18.25,10.508385,79.533292,Active,158.79,328.93,114.98,24.88,30.26,18.4,36.25,12.26,351.77,0.96,0.3,4.99,0.788,0.175,0.33,1.72,159.98,2.071478052774104,2.399,0.021333333333333333,0.037099999999999994,0.705
6,Mine_00006,Namakkal,Marble,35.9,8.255477,78.733952,Active,88.31,202.98,66.88,25.71,31.82,19.34,40.15,12.05,499.56,9.91,13.53,4.18,0.696,0.325,0.551,2.59,40.07,2.298493941795946,2.8099999999999996,0.22022222222222224,0.09880000000000001,0.892
7,Mine_00007,Karur,Sand,114.03,11.098085,77.734374,Active,163.46,297.26,100.8,23.78,30.34,15.97,38.34,10.68,1215.44,37.65,256.99,11.52,0.246,0.655,0.396,3.22,164.96,1.8185488804600511,2.7660000000000005,0.8366666666666667,0.49387000000000003,1.079
8,Mine_00008,Salem,Marble,45.99,11.354982,79.749377,Active,203.62,422.56,152.3,24.11,31.78,15.35,39.32,10.36,267.66,13.91,305.28,8.56,0.885,0.413,0.29,3.82,32.53,2.075238188783027,2.896,0.3091111111111111,0.047494999999999996,0.841
9,Mine_00009,Dharmapuri,Silica Sand,8.05,12.154488,77.913201,Active,245.98,494.99,166.96,24.01,31.37,17.08,37.34,9.34,1264.78,25.33,129.76,9.5,0.346,0.606,0.242,3.15,45.57,2.012318074640215,2.8000000000000003,0.5628888888888889,0.396324,0.994
10,Mine_00010,Dindigul,Marble,139.71,12.263231,80.227745,Active,219.97,476.64,155.48,22.92,29.59,14.64,36.36,8.32,336.12,10.73,193.34,7.2,0.824,0.384,0.417,4.39,64.75,2.16684093285448,2.804,0.23844444444444446,0.06758400000000002,0.847
11,Mine_00011,Vellore,Silica Sand,15.81,11.137442,78.343754,Active,162.08,291.5,102.45,23.94,31.46,16.97,39.04,11.5,201.02,13.4,226.35,4.33,0.457,0.8,0.267,0.99,38.07,1.7984945705824282,2.754,0.2977777777777778,0.43439999999999995,0.881
12,Mine_00012,Ariyalur,Sandstone,12.66,12.558056,77.60539,Active,225.36,516.43,170.65,23.51,31.65,16.89,38.63,9.82,1098.03,36.66,62.86,11.94,0.573,0.687,0.494,4.52,163.78,2.2915779197728074,2.8810000000000002,0.8146666666666665,0.2933490000000001,1.128
13,Mine_00013,Virudhunagar,Granite,7.23,8.086,77.905307,Active,74.4,171.74,56.91,25.47,32.29,17.61,39.16,12.94,970.41,23.86,161.06,9.22,0.735,0.276,0.334,1.96,96.28,2.308333333333333,2.622,0.5302222222222223,0.07314000000000001,0.938
14,Mine_00014,Krishnagiri,Marble,1.0,9.093633,79.201039,Active,121.62,252.45,91.24,24.48,30.37,17.34,36.61,9.79,653.5,8.9,130.69,3.05,0.755,0.352,0.664,1.78,141.96,2.0757276763690182,2.682,0.19777777777777777,0.08624,0.835
15,Mine_00015,Dharmapuri,Granite,104.31,11.580924,80.117319,Active,207.11,413.59,143.75,23.28,30.74,15.98,38.54,10.51,863.02,8.3,197.63,7.07,0.865,0.324,0.559,3.66,46.42,1.9969581381874364,2.803,0.18444444444444447,0.04374,0.804
16,Mine_00016,Karur,Salt,4.01,10.0395,79.009786,Active,165.09,326.24,109.73,24.53,32.52,17.48,38.73,9.37,307.24,7.8,162.23,6.2,1.068,0.237,0.472,2.34,37.32,1.9761342298140407,2.936,0.17333333333333334,-0.016116000000000012,0.783
17,Mine_00017,Tiruvannamalai,Iron Ore,12.85,11.086839,77.723171,Active,173.31,402.24,136.61,23.97,30.02,16.04,38.37,9.08,2076.62,26.75,287.94,12.8,0.757,0.432,0.574,0.85,150.75,2.3209278172061625,2.929,0.5944444444444444,0.104976,1.024
18,Mine_00018,Tirunelveli,Silica Sand,51.17,9.297917,77.152307,Active,88.65,175.68,55.15,24.84,33.05,16.08,39.72,9.43,911.2,23.51,255.13,10.93,0.378,0.662,0.571,3.57,198.06,1.981725888324873,3.029,0.5224444444444445,0.411764,1.037
19,Mine_00019,Karur,Sand,1.03,8.593403,76.141431,Active,105.3,210.88,75.07,24.67,30.65,16.27,35.66,10.69,682.1,24.16,154.98,8.45,0.327,0.871,0.581,4.4,125.47,2.002659069325736,2.497,0.5368888888888889,0.586183,1.045
20,Mine_00020,Perambalur,Granite,28.42,12.991616,77.121815,Active,259.41,552.43,199.18,23.28,30.48,16.0,37.09,8.02,2018.63,29.0,187.17,10.42,0.746,0.28,0.237,2.11,186.59,2.1295632396592263,2.9070000000000005,0.6444444444444445,0.07112,0.955
21,Mine_00021,Virudhunagar,Sand,10.39,8.42339,77.303882,Active,106.09,188.45,74.57,24.78,31.8,16.95,39.83,11.25,801.79,13.67,282.79,5.15,0.331,0.883,0.698,4.01,127.67,1.77632199076256,2.8579999999999997,0.30377777777777776,0.590727,0.979
22,Mine_00022,Salem,Limestone,40.14,12.793033,79.616524,Active,259.44,539.13,187.4,22.85,30.02,15.36,38.5,8.7,339.31,2.89,191.15,1.12,0.525,0.437,0.328,4.72,180.92,2.0780527289546717,2.98,0.06422222222222222,0.20757499999999998,0.828
23,Mine_00023,Theni,Marble,31.0,12.440921,80.032411,Active,218.44,497.07,162.3,23.4,30.9,15.16,37.16,8.77,690.91,20.56,7.69,10.04,0.772,0.36,0.346,1.52,128.68,2.2755447720197766,2.8389999999999995,0.45688888888888884,0.08207999999999999,0.935
24,Mine_00024,Perambalur,Silica Sand,10.35,10.349093,79.681066,Active,153.98,329.92,116.75,24.58,32.56,16.72,38.78,9.94,701.65,22.12,173.76,8.18,0.325,0.568,0.232,2.08,35.98,2.1426159241459932,2.8840000000000003,0.4915555555555556,0.3834,1.003
25,Mine_00025,Karur,Iron Ore,28.6,10.295761,76.999485,Active,131.76,339.24,102.27,24.81,32.46,16.53,39.8,9.94,1020.7,26.58,243.81,10.44,0.686,0.392,0.464,0.86,135.38,2.574681238615665,2.9859999999999998,0.5906666666666667,0.12308799999999999,1.074
26,Mine_00026,Namakkal,Limestone,114.52,9.777616,78.334558,Active,144.82,294.0,98.65,24.4,32.77,16.62,40.01,10.23,204.39,11.82,84.98,8.24,0.654,0.545,0.694,3.18,130.73,2.0301063389034666,2.9779999999999998,0.26266666666666666,0.18857,0.909
27,Mine_00027,Karur,Marble,142.71,13.29346,77.13302,Active,237.93,508.11,170.92,23.05,28.72,14.36,35.73,8.82,1758.42,31.41,129.34,13.32,0.858,0.4,0.31,2.7,149.14,2.1355440675829027,2.691,0.698,0.05680000000000001,0.954
28,Mine_00028,Salem,Iron Ore,13.41,8.202878,78.74304,Active,82.08,181.83,57.65,25.55,33.51,17.82,40.05,10.0,588.25,11.16,296.51,7.6,0.61,0.349,0.741,2.83,177.12,2.215277777777778,3.005,0.248,0.13611,0.933
29,Mine_00029,Salem,Marble,13.07,12.995462,77.078029,Active,247.31,479.65,164.08,22.58,30.5,14.82,36.16,8.48,1957.45,27.63,15.52,11.96,0.77,0.359,0.556,1.23,131.73,1.9394686830293961,2.768,0.614,0.08256999999999999,0.929
30,Mine_00030,Salem,Sandstone,169.76,9.331304,79.02461,Active,118.53,284.42,89.31,24.83,31.11,17.79,38.68,12.63,976.4,11.21,255.09,5.08,0.438,0.525,0.72,1.85,173.01,2.399561292499789,2.6049999999999995,0.24911111111111112,0.29505000000000003,0.976
31,Mine_00031,Madurai,Salt,52.11,10.022807,78.845376,Active,141.6,322.37,118.99,24.8,31.67,18.26,37.74,10.69,876.6,6.13,169.69,2.07,0.924,0.205,0.793,3.35,187.29,2.2766242937853107,2.7050000000000005,0.13622222222222222,0.01557999999999999,0.851
32,Mine_00032,Cuddalore,Silica Sand,3.79,12.594164,77.44351,Active,207.24,477.3,161.73,23.78,30.76,16.33,37.21,8.23,1637.5,18.26,37.8,6.95,0.43,0.753,0.332,3.09,132.05,2.303126809496236,2.898,0.4057777777777778,0.42921000000000004,1.034
33,Mine_00033,Cuddalore,Salt,35.75,11.726604,76.074645,Active,198.89,380.45,143.42,23.25,31.57,15.76,38.08,8.26,918.79,24.37,11.02,8.47,0.823,0.183,0.653,3.43,132.18,1.91286640856755,2.982,0.5415555555555556,0.03239100000000001,0.918
34,Mine_00034,Dharmapuri,Sand,41.44,8.959015,79.10922,Active,118.1,213.98,77.01,24.67,30.77,16.26,38.62,9.92,770.0,9.73,148.03,7.61,0.347,0.924,0.651,4.27,73.41,1.8118543607112616,2.8699999999999997,0.21622222222222223,0.603372,0.96
35,Mine_00035,Perambalur,Limestone,45.04,12.043689,76.940822,Active,238.77,483.57,174.77,23.68,30.56,14.92,38.28,8.99,1320.39,20.15,216.59,6.9,0.595,0.496,0.699,3.35,139.62,2.0252544289483603,2.929,0.4477777777777777,0.20088,0.962
36,Mine_00036,Dindigul,Iron Ore,7.69,13.401926,78.324862,Active,265.88,579.45,205.75,22.91,30.33,14.78,37.85,8.42,908.0,14.06,206.14,9.15,0.709,0.405,0.46,4.03,140.71,2.1793666315631115,2.943,0.31244444444444447,0.11785500000000003,0.905
37,Mine_00037,Coimbatore,Limestone,134.58,11.070614,79.971864,Closed,212.48,387.0,152.15,24.23,31.38,17.96,38.39,10.93,983.93,7.64,251.45,5.67,0.485,0.404,0.235,1.66,157.01,1.821347891566265,2.746,0.16977777777777778,0.20806000000000002,0.776
38,Mine_00038,Karur,Granite,51.78,12.934106,79.991889,Active,237.64,553.93,189.9,23.36,30.88,16.08,37.46,10.03,742.72,11.15,163.16,4.73,0.878,0.329,0.516,0.85,95.39,2.3309628008752736,2.743,0.2477777777777778,0.040138,0.878
39,Mine_00039,Krishnagiri,Salt,109.73,12.319374,79.010447,Active,250.51,508.28,185.63,23.34,30.02,15.98,34.69,9.04,599.14,15.36,36.88,9.13,0.943,0.21,0.733,3.15,77.69,2.028980879006826,2.565,0.3413333333333333,0.01197000000000001,0.842
