mine_name,district,mineral_type,lease_area_ha,latitude,longitude,status
Mine_00001,Perambalur,Marble,52.67,11.292622,76.702084,Closed
Mine_00002,Namakkal,Sand,80.45,11.306133,79.186327,Active
Mine_00003,Salem,Salt,9.55,9.000037,76.82532,Active
Mine_00004,Theni,Limestone,22.62,9.60176,78.753338,Active
Mine_00005,Dindigul,Salt,18.25,10.508385,79.533292,Active
Mine_00006,Namakkal,Marble,35.9,8.255477,78.733952,Active
Mine_00007,Karur,Sand,114.03,11.098085,77.734374,Active
Mine_00008,Salem,Marble,45.99,11.354982,79.749377,Active
Mine_00009,Dharmapuri,Silica Sand,8.05,12.154488,77.913201,Active
Mine_00010,Dindigul,Marble,139.71,12.263231,80.227745,Active
Mine_00011,Vellore,Silica Sand,15.81,11.137442,78.343754,Active
Mine_00012,Ariyalur,Sandstone,12.66,12.558056,77.60539,Active
Mine_00013,Virudhunagar,Granite,7.23,8.086,77.905307,Active
Mine_00014,Krishnagiri,Marble,1.0,9.093633,79.201039,Active
Mine_00015,Dharmapuri,Granite,104.31,11.580924,80.117319,Active
Mine_00016,Karur,Salt,4.01,10.0395,79.009786,Active
Mine_00017,Tiruvannamalai,Iron Ore,12.85,11.086839,77.723171,Active
Mine_00018,Tirunelveli,Silica Sand,51.17,9.297917,77.152307,Active
Mine_00019,Karur,Sand,1.03,8.593403,76.141431,Active
Mine_00020,Perambalur,Granite,28.42,12.991616,77.121815,Active
Mine_00021,Virudhunagar,Sand,10.39,8.42339,77.303882,Active
Mine_00022,Salem,Limestone,40.14,12.793033,79.616524,Active
Mine_00023,Theni,Marble,31.0,12.440921,80.032411,Active
Mine_00024,Perambalur,Silica Sand,10.35,10.349093,79.681066,Active
Mine_00025,Karur,Iron Ore,28.6,10.295761,76.999485,Active
Mine_00026,Namakkal,Limestone,114.52,9.777616,78.334558,Active
Mine_00027,Karur,Marble,142.71,13.29346,77.13302,Active
Mine_00028,Salem,Iron Ore,13.41,8.202878,78.74304,Active
Mine_00029,Salem,Marble,13.07,12.995462,77.078029,Active
Mine_00030,Salem,Sandstone,169.76,9.331304,79.02461,Active
Mine_00031,Madurai,Salt,52.11,10.022807,78.845376,Active
Mine_00032,Cuddalore,Silica Sand,3.79,12.594164,77.44351,Active
Mine_00033,Cuddalore,Salt,35.75,11.726604,76.074645,Active
Mine_00034,Dharmapuri,Sand,41.44,8.959015,79.10922,Active
Mine_00035,Perambalur,Limestone,45.04,12.043689,76.940822,Active
Mine_00036,Dindigul,Iron Ore,7.69,13.401926,78.324862,Active
Mine_00037,Coimbatore,Limestone,134.58,11.070614,79.971864,Closed
Mine_00038,Karur,Granite,51.78,12.934106,79.991889,Active
Mine_00039,Krishnagiri,Salt,109.73,12.319374,79.010447,Active
Mine_00040,Dharmapuri,Salt,43.57,8.027839,76.723636,Active
Mine_00041,Erode,Limestone,42.22,9.233481,79.204806,Active
Mine_00042,Krishnagiri,Silica Sand,54.89,11.572981,79.821505,Active
Mine_00043,Coimbatore,Salt,3.93,10.022437,77.193411,Active
Mine_00044,Tuticorin,Silica Sand,19.98,12.906256,78.840124,Closed
Mine_00045,Salem,Sandstone,34.41,10.708847,76.878593,Active
Mine_00046,Kanyakumari,Iron Ore,58.54,8.239821,80.475477,Active
Mine_00047,Tuticorin,Sandstone,55.09,13.241895,77.488376,Active
Mine_00048,Tuticorin,Sandstone,157.15,8.414404,77.375637,Active
Mine_00049,Krishnagiri,Salt,18.65,10.170803,79.798959,Active
Mine_00050,Dharmapuri,Salt,9.37,11.691289,77.613911,Active
Mine_00051,Dindigul,Limestone,75.53,8.751417,79.190099,Active
Mine_00052,Perambalur,Sandstone,21.77,9.409138,78.751812,Active
Mine_00053,Perambalur,Granite,8.64,8.390175,77.785527,Active
Mine_00054,Tuticorin,Marble,1.12,11.183757,77.973134,Active
Mine_00055,Namakkal,Granite,160.34,12.614134,79.871821,Active
Mine_00056,Coimbatore,Marble,14.45,10.953953,77.469931,Active
Mine_00057,Ariyalur,Sandstone,134.39,10.514958,79.789104,Active
Mine_00058,Tiruppur,Silica Sand,40.58,11.993502,80.391334,Active
Mine_00059,Dindigul,Silica Sand,20.35,10.384364,79.348192,Active
Mine_00060,Tiruvannamalai,Limestone,72.31,11.827858,77.840288,Closed
Mine_00061,Krishnagiri,Sand,31.87,11.930278,78.970888,Active
Mine_00062,Krishnagiri,Salt,42.81,10.396201,79.285177,Active
Mine_00063,Dharmapuri,Marble,6.91,8.660906,77.538459,Active
Mine_00064,Tiruvannamalai,Sand,77.37,11.870118,78.133782,Active
Mine_00065,Kanyakumari,Sandstone,7.61,10.386184,77.793271,Active
Mine_00066,Dindigul,Silica Sand,1.85,10.060369,78.81637,Active
Mine_00067,Krishnagiri,Salt,7.11,8.388128,78.890887,Active
Mine_00068,Coimbatore,Marble,112.69,11.165108,77.746765,Active
Mine_00069,Krishnagiri,Granite,68.73,11.442668,79.691921,Active
Mine_00070,Ariyalur,Limestone,12.81,9.18024,77.697666,Active
Mine_00071,Namakkal,Limestone,2.95,9.754366,79.801939,Active
Mine_00072,Salem,Iron Ore,5.03,11.832054,78.830243,Active
Mine_00073,Vellore,Granite,13.25,8.975917,79.377766,Active
Mine_00074,Dharmapuri,Granite,5.46,9.37509,78.612448,Active
Mine_00075,Tiruvannamalai,Marble,55.59,12.149986,76.464057,Active
Mine_00076,Coimbatore,Granite,70.05,9.760273,80.029855,Active
Mine_00077,Coimbatore,Marble,94.32,8.502077,77.436911,Active
Mine_00078,Tuticorin,Sand,34.08,11.475105,78.018005,Closed
Mine_00079,Dharmapuri,Marble,44.65,12.13806,79.562106,Active
Mine_00080,Perambalur,Sandstone,146.37,13.477622,76.25142,Closed
Mine_00081,Dharmapuri,Sand,48.94,13.327586,79.096135,Active
Mine_00082,Theni,Granite,3.51,11.85533,76.327434,Active
Mine_00083,Erode,Iron Ore,3.39,8.466607,80.439878,Active
Mine_00084,Kanyakumari,Sandstone,67.02,13.209867,80.437005,Active
Mine_00085,Vellore,Marble,3.49,12.274308,78.512819,Active
Mine_00086,Dindigul,Limestone,22.8,9.395252,77.823409,Active
Mine_00087,Tiruppur,Marble,69.22,12.093164,79.064677,Active
Mine_00088,Coimbatore,Granite,10.12,13.297724,76.054695,Active
Mine_00089,Virudhunagar,Sandstone,1.77,13.085538,80.136021,Active
Mine_00090,Vellore,Iron Ore,3.14,8.914185,76.975641,Active
Mine_00091,Tirunelveli,Sand,47.75,10.11311,79.316953,Closed
Mine_00092,Madurai,Marble,2.38,10.16987,76.480402,Closed
Mine_00093,Ariyalur,Limestone,24.92,9.943437,78.626453,Active
Mine_00094,Tiruvannamalai,Granite,24.15,8.177738,77.258936,Active
Mine_00095,Tiruppur,Sandstone,7.1,13.0101,79.701418,Active
Mine_00096,Erode,Iron Ore,38.02,10.300337,80.197278,Active
Mine_00097,Erode,Iron Ore,1.07,10.070549,79.64749,Active
Mine_00098,Tirunelveli,Granite,55.38,10.161442,79.731239,Active
Mine_00099,Coimbatore,Sandstone,1.5,8.736187,76.061524,Active
Mine_00100,Cuddalore,Marble,326.9,13.481503,78.499443,Active
Mine_00101,Tiruvannamalai,Sandstone,75.79,9.360415,78.027449,Closed
Mine_00102,Tuticorin,Granite,37.27,9.257535,79.022653,Closed
Mine_00103,Salem,Marble,1.0,10.739909,78.142948,Active
Mine_00104,Dharmapuri,Iron Ore,67.8,13.323856,76.397837,Active
Mine_00105,Coimbatore,Salt,21.83,12.315675,78.877126,Active
Mine_00106,Madurai,Iron Ore,38.42,13.392545,78.736395,Closed
Mine_00107,Erode,Silica Sand,3.82,11.995184,78.463508,Active
Mine_00108,Krishnagiri,Salt,14.15,10.879813,79.139388,Closed
Mine_00109,Vellore,Limestone,27.1,9.420344,78.066111,Closed
Mine_00110,Salem,Silica Sand,15.94,11.483705,77.080655,Active
Mine_00111,Namakkal,Sand,5.48,8.835465,76.624722,Active
Mine_00112,Ariyalur,Marble,16.97,12.932336,78.132827,Active
Mine_00113,Erode,Sandstone,1.67,8.929143,77.253657,Active
Mine_00114,Cuddalore,Granite,17.6,12.918195,76.579368,Active
Mine_00115,Virudhunagar,Iron Ore,64.26,11.453452,76.367916,Active
Mine_00116,Madurai,Sand,1.0,12.775656,76.380327,Active
Mine_00117,Dharmapuri,Sandstone,30.77,13.08223,77.062524,Closed
Mine_00118,Tuticorin,Salt,2.57,8.812565,76.599026,Active
Mine_00119,Dharmapuri,Sand,55.39,8.167597,79.902467,Active
Mine_00120,Cuddalore,Iron Ore,4.43,12.055729,76.820277,Active
Mine_00121,Perambalur,Granite,3.74,10.944346,77.049474,Active
Mine_00122,Virudhunagar,Marble,17.55,11.568526,78.158119,Active
Mine_00123,Vellore,Sand,32.63,11.225945,78.540063,Active
Mine_00124,Dindigul,Granite,91.96,11.341554,77.099589,Active
Mine_00125,Virudhunagar,Silica Sand,10.83,8.559804,76.687866,Active
